"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","4,045.64","3,998.02","4,048.29","3,995.17","","1.61%"
"03/02/2023","3,981.35","3,938.68","3,990.84","3,928.16","","0.76%"
"03/01/2023","3,951.39","3,963.34","3,971.73","3,939.05","","-0.47%"
"02/28/2023","3,970.15","3,977.19","3,997.50","3,968.98","","-0.30%"
"02/27/2023","3,982.24","3,992.36","4,018.05","3,973.55","","0.31%"
"02/24/2023","3,970.04","3,973.24","3,978.25","3,943.08","","-1.05%"
"02/23/2023","4,012.32","4,018.60","4,028.30","3,969.19","","0.53%"
"02/22/2023","3,991.05","4,001.83","4,017.37","3,976.90","","-0.16%"
"02/21/2023","3,997.34","4,052.35","4,052.35","3,995.19","","-2.00%"
"02/17/2023","4,079.09","4,077.39","4,081.51","4,047.95","","-0.28%"